"","date","week"
"255",2020-12-17,"2020 / 51"
"256",2020-12-18,"2020 / 51"
"257",2020-12-19,"2020 / 51"
"258",2020-12-20,"2020 / 51"
"259",2020-12-21,"2020 / 52"
"260",2020-12-22,"2020 / 52"
"261",2020-12-23,"2020 / 52"
"262",2020-12-24,"2020 / 52"
"263",2020-12-25,"2020 / 52"
"264",2020-12-26,"2020 / 52"
"265",2020-12-27,"2020 / 52"
"266",2020-12-28,"2020 / 53"
"267",2020-12-29,"2020 / 53"
"268",2020-12-30,"2020 / 53"
"269",2020-12-31,"2020 / 53"
"270",2021-01-01,"2020 / 53"
"271",2021-01-02,"2020 / 53"
"272",2021-01-03,"2020 / 53"
"273",2021-01-04,"2021 / 1"
"274",2021-01-05,"2021 / 1"
"275",2021-01-06,"2021 / 1"
"276",2021-01-07,"2021 / 1"
"277",2021-01-08,"2021 / 1"
"278",2021-01-09,"2021 / 1"
"279",2021-01-10,"2021 / 1"
"280",2021-01-11,"2021 / 2"
"281",2021-01-12,"2021 / 2"
"282",2021-01-13,"2021 / 2"
"283",2021-01-14,"2021 / 2"
"284",2021-01-15,"2021 / 2"
"285",2021-01-16,"2021 / 2"
"286",2021-01-17,"2021 / 2"
"287",2021-01-18,"2021 / 3"
"288",2021-01-20,"2021 / 3"
"289",2021-01-21,"2021 / 3"
"290",2021-01-22,"2021 / 3"
"291",2021-01-23,"2021 / 3"
"292",2021-01-24,"2021 / 3"
"293",2021-01-25,"2021 / 4"
"294",2021-01-26,"2021 / 4"
"295",2021-01-27,"2021 / 4"
"296",2021-01-28,"2021 / 4"
"297",2021-01-29,"2021 / 4"
"298",2021-01-30,"2021 / 4"
"299",2021-01-31,"2021 / 4"
"300",2021-02-01,"2021 / 5"
"301",2021-02-02,"2021 / 5"
"302",2021-02-03,"2021 / 5"
"303",2021-02-04,"2021 / 5"
"304",2021-02-05,"2021 / 5"
"305",2021-02-06,"2021 / 5"
"306",2021-02-07,"2021 / 5"
"307",2021-02-08,"2021 / 6"
"308",2021-02-09,"2021 / 6"
"309",2021-02-10,"2021 / 6"
"310",2021-02-11,"2021 / 6"
"311",2021-02-12,"2021 / 6"
"312",2021-02-13,"2021 / 6"
"313",2021-02-14,"2021 / 6"
"314",2021-02-15,"2021 / 7"
"315",2021-02-16,"2021 / 7"
"316",2021-02-17,"2021 / 7"
"317",2021-02-18,"2021 / 7"
"318",2021-02-19,"2021 / 7"
"319",2021-02-20,"2021 / 7"
"320",2021-02-21,"2021 / 7"
"321",2021-02-22,"2021 / 8"
"322",2021-02-23,"2021 / 8"
"323",2021-02-24,"2021 / 8"
"324",2021-02-25,"2021 / 8"
"325",2021-02-26,"2021 / 8"
"326",2021-02-27,"2021 / 8"
"327",2021-02-28,"2021 / 8"
"328",2021-03-01,"2021 / 9"
