"","week","work","work_mob","other","other_mob","work_mob2","other_mob2","work_scaling_fac_lin","work_scaling_fac_quad","other_scaling_fac_lin","other_scaling_fac_quad"
"16","2020 / 32",1.01325056702877,0.624285714285714,1.0527635191596,0.754631428571429,0.389732653061225,0.569468592987755,0.49753364645792,0.471871461380623,0.277640247340518,0.30167569513957
"17","2020 / 33",1.59350132625995,0.628571428571429,1.54858532272325,0.757951428571429,0.395102040816327,0.574490368073469,0.502481861519033,0.479516386873781,0.279234902960034,0.305844375391657
"18","2020 / 34",1.57243736787658,0.644285714285714,1.55363648630414,0.760334285714286,0.415104081632653,0.578108226032653,0.520625316743114,0.508584776822238,0.280379432036348,0.308870909918023
"19","2020 / 35",1.13289953662624,0.648571428571429,1.39125505274574,0.78985,0.420644897959184,0.6238630225,0.525573531804227,0.51679533675551,0.294556359641695,0.348753823834713
"20","2020 / 36",1.29683354728284,0.638571428571429,1.38536585365854,0.785091428571429,0.407773469387755,0.616368551216326,0.51402769666163,0.497825908391245,0.292270732331622,0.342024259626775
"21","2020 / 37",1.63448823062682,0.688571428571429,1.32041787886802,0.787982857142857,0.474130612244898,0.620916983151021,0.571756872374617,0.599272118680583,0.293659537397845,0.346099584951411
"22","2020 / 38",1.63990737167117,0.72,1.1678888460054,0.789891428571429,0.5184,0.623928468930612,0.608043782822779,0.671482422147029,0.294576258528513,0.348812917729636
"23","2020 / 39",1.49478815148106,0.724285714285714,1.10457442819648,0.766061428571429,0.524589795918367,0.586850112344898,0.612991997883893,0.681834312460738,0.283130281596865,0.316263227276368
"24","2020 / 40",1.5341530740276,0.731428571428572,1.08150564617315,0.749864285714286,0.534987755102041,0.562296446989796,0.621239022985748,0.699356812716976,0.275350503019379,0.295787979308263
"25","2020 / 41",1.48446464072707,0.745714285714286,1.00721385969895,0.754158571428571,0.556089795918367,0.568755150859184,0.637733073189458,0.735411874729656,0.277413125563384,0.301086523787381
"26","2020 / 42",1.24404946864707,0.732857142857143,0.94065005282456,0.741292857142857,0.537079591836735,0.54951510005102,0.622888428006119,0.702901715228232,0.271233491953502,0.285492467414228
"27","2020 / 43",1.33808650777484,0.718571428571429,0.952060840632851,0.732231428571429,0.516344897959184,0.536162864987755,0.606394377802409,0.668058727015799,0.26688112508836,0.275014697713705
"28","2020 / 44",0.989930328761158,0.654285714285714,0.954060526888744,0.730777142857143,0.428089795918368,0.534035232522449,0.532171151885712,0.527931294813247,0.266182605544183,0.273371989000026
"29","2020 / 45",1.01648753804076,0.671428571428571,0.982279748834701,0.672707142857143,0.450816326530612,0.452534900051021,0.551964012130164,0.562632047706717,0.238290541741378,0.216567948479741
"30","2020 / 46",0.998543239306052,0.644285714285714,0.885754646183728,0.610342857142857,0.415104081632653,0.372518403265306,0.520625316743114,0.508584776822237,0.208335855394569,0.174662476523625
"31","2020 / 47",0.813716076211654,0.65,0.645221610148077,0.620814285714286,0.4225,0.385410377346939,0.527222936824598,0.51955912503994,0.213365470580048,0.180316923322891
"32","2020 / 48",0.955801632380316,0.661428571428571,0.583552097751897,0.629854285714286,0.437487755102041,0.396716421232653,0.540418176987567,0.542154260835477,0.217707544917527,0.18564694150877
"33","2020 / 49",1.10836377870564,0.718571428571429,0.611234342379958,0.704132857142857,0.516344897959184,0.495803080508163,0.606394377802409,0.668058727015799,0.253384876645904,0.245179350877126
"34","2020 / 50",1.26863412788498,0.728571428571429,0.894221933949516,0.72889,0.530816326530612,0.5312806321,0.617940212945006,0.692307410154473,0.265276176941179,0.271256375385572
"35","2020 / 51",1.33235415378273,0.712857142857143,1.01278086992373,0.739825714285714,0.508165306122449,0.547342087518367,0.599796757720924,0.654498621357569,0.270528796892727,0.283767670893767
"36","2020 / 52",0.813526484963234,0.45,0.917132666989564,0.575038571428572,0.2025,0.330669358630612,0.296306233972652,0.263667410513121,0.191378572982733,0.159708115391543
"37","2020 / 53",0.584752665876777,0.3,0.768438981042654,0.5889175,0.09,0.34682382180625,0.123118706833692,0.244974171903291,0.198044871609026,0.164830859106122
"38","2021 / 01",0.699281826082979,0.555714285714286,0.564567037189516,0.505571428571429,0.308818367346939,0.255602469387755,0.418362205480109,0.366036857173455,0.158012256799334,0.148790574821061
"39","2021 / 02",0.765638155613887,0.541428571428571,0.468476053687286,0.484157142857143,0.293144897959184,0.234408138979592,0.401868155276399,0.347893552431091,0.147726590819752,0.150373979313447
"40","2021 / 03",0.693437806072478,0.541428571428571,0.453346392425726,0.487488571428572,0.293144897959184,0.237645107273469,0.401868155276399,0.347893552431091,0.149326735787356,0.149974459514642
"41","2021 / 04",0.561555432984004,0.55,0.484335355763927,0.509857142857143,0.3025,0.259954306122449,0.411764585398625,0.358617925436476,0.160070762332273,0.148753765337622
"42","2021 / 05",0.521082162102105,0.558571428571429,0.491306038553414,0.516044285714286,0.312002040816327,0.266301704818367,0.421661015520852,0.369827127961961,0.163042558153325,0.148865397403831
"43","2021 / 06",0.772839216606075,0.554285714285714,0.513603846604902,0.530312857142857,0.307232653061225,0.281231726451021,0.416712800459739,0.364161923009206,0.169896009240988,0.149865046363229
