"","part_social_group","weekend","week","part_age_group","sample","sample_total","sample_proportion","pop_estimate","pop_proportion","weight_raw","weight_proportion"
"165","A - Upper middle class",FALSE,"2020 / 43","60-69",9,1657,0.00543150271575136,291.47108,8.75852241107666e-05,32.3856755555556,0.0161254129279489
"166","A - Upper middle class",FALSE,"2020 / 43","70-120",9,1657,0.00543150271575136,371.25004,0.000111558299212845,41.2500044444444,0.0205391224217427
"167","A - Upper middle class",FALSE,"2020 / 44","18-29",10,2651,0.00377216144851,401.83808,0.000120749812616196,40.183808,0.0320107753245535
"168","A - Upper middle class",FALSE,"2020 / 44","30-39",13,2651,0.004903809883063,371.80096,0.000111723847203634,28.6000738461538,0.0227830706874487
"169","A - Upper middle class",FALSE,"2020 / 44","40-49",7,2651,0.002640513013957,344.17004,0.000103420929738935,49.1671485714286,0.0391669835339881
"170","A - Upper middle class",FALSE,"2020 / 44","50-59",27,2651,0.010184835910977,366.9386,0.000110262738642513,13.5903185185185,0.0108261674126408
"171","A - Upper middle class",FALSE,"2020 / 44","60-69",26,2651,0.00980761976612599,291.47108,8.75852241107666e-05,11.2104261538462,0.00893032419683239
"172","A - Upper middle class",FALSE,"2020 / 44","70-120",46,2651,0.017351942663146,371.25004,0.000111558299212845,8.07065304347826,0.00642915328724461
"173","A - Upper middle class",FALSE,"2020 / 45","18-29",9,2830,0.00318021201413428,401.83808,0.000120749812616196,44.6486755555556,0.0379691077448704
"174","A - Upper middle class",FALSE,"2020 / 45","30-39",14,2830,0.0049469964664311,371.80096,0.000111723847203634,26.5572114285714,0.0225841776847346
"175","A - Upper middle class",FALSE,"2020 / 45","40-49",13,2830,0.00459363957597173,344.17004,0.000103420929738935,26.4746184615385,0.0225139408585528
"176","A - Upper middle class",FALSE,"2020 / 45","50-59",25,2830,0.0088339222614841,366.9386,0.000110262738642513,14.677544,0.0124817420143324
"177","A - Upper middle class",FALSE,"2020 / 45","60-69",17,2830,0.00600706713780919,291.47108,8.75852241107666e-05,17.1453576470588,0.0145803637784394
"178","A - Upper middle class",FALSE,"2020 / 45","70-120",36,2830,0.0127208480565371,371.25004,0.000111558299212845,10.3125011111111,0.00876972185478753
"179","A - Upper middle class",FALSE,"2020 / 46","18-29",6,2240,0.00267857142857143,401.83808,0.000120749812616196,66.9730133333333,0.0450799300433797
"180","A - Upper middle class",FALSE,"2020 / 46","30-39",9,2240,0.00401785714285714,371.80096,0.000111723847203634,41.3112177777778,0.0278068241929045
"181","A - Upper middle class",FALSE,"2020 / 46","40-49",12,2240,0.00535714285714286,344.17004,0.000103420929738935,28.6808366666667,0.0193052402179345
"182","A - Upper middle class",FALSE,"2020 / 46","50-59",17,2240,0.00758928571428571,366.9386,0.000110262738642513,21.5846235294118,0.0145287373270134
"183","A - Upper middle class",FALSE,"2020 / 46","60-69",26,2240,0.0116071428571429,291.47108,8.75852241107666e-05,11.2104261538462,0.00754580392338912
"184","A - Upper middle class",FALSE,"2020 / 46","70-120",8,2240,0.00357142857142857,371.25004,0.000111558299212845,46.406255,0.0312363237795966
"185","A - Upper middle class",FALSE,"2020 / 47","18-29",8,2285,0.00350109409190372,401.83808,0.000120749812616196,50.22976,0.0344891652285009
"186","A - Upper middle class",FALSE,"2020 / 47","30-39",10,2285,0.00437636761487965,371.80096,0.000111723847203634,37.180096,0.0255288990860304
"187","A - Upper middle class",FALSE,"2020 / 47","40-49",12,2285,0.00525164113785558,344.17004,0.000103420929738935,28.6808366666667,0.0196930687044555
"188","A - Upper middle class",FALSE,"2020 / 47","50-59",17,2285,0.0074398249452954,366.9386,0.000110262738642513,21.5846235294118,0.0148206092822436
"189","A - Upper middle class",FALSE,"2020 / 47","60-69",23,2285,0.0100656455142232,291.47108,8.75852241107666e-05,12.6726556521739,0.00870140161274355
"190","A - Upper middle class",FALSE,"2020 / 47","70-120",31,2285,0.0135667396061269,371.25004,0.000111558299212845,11.9758077419355,0.00822292624843067
"191","A - Upper middle class",FALSE,"2020 / 48","18-29",8,2231,0.00358583594800538,401.83808,0.000120749812616196,50.22976,0.0336741039933415
"192","A - Upper middle class",FALSE,"2020 / 48","30-39",15,2231,0.00672344240251008,371.80096,0.000111723847203634,24.7867306666667,0.0166170602074205
"193","A - Upper middle class",FALSE,"2020 / 48","40-49",17,2231,0.00761990138951143,344.17004,0.000103420929738935,20.2452964705882,0.0135724761322096
"194","A - Upper middle class",FALSE,"2020 / 48","50-59",18,2231,0.0080681308830121,366.9386,0.000110262738642513,20.3854777777778,0.0136664538839692
"195","A - Upper middle class",FALSE,"2020 / 48","60-69",27,2231,0.0121021963245182,291.47108,8.75852241107666e-05,10.7952251851852,0.00723713462930075
"196","A - Upper middle class",FALSE,"2020 / 48","70-120",25,2231,0.0112057373375168,371.25004,0.000111558299212845,14.8500016,0.00995546262175428
"197","A - Upper middle class",FALSE,"2020 / 49","18-29",6,1086,0.00552486187845304,401.83808,0.000120749812616196,66.9730133333333,0.0218557160835314
"198","A - Upper middle class",FALSE,"2020 / 49","30-39",3,1086,0.00276243093922652,371.80096,0.000111723847203634,123.933653333333,0.0404440326877155
