"","part_social_group","week","part_age_group","sample","sample_total","sample_proportion","pop_estimate","pop_proportion","weight_raw","weight_proportion"
"2202","C2 - Skilled working class","2021 / 24","60-69",51,2291,0.0222610213880402,1530.22317,3.1112731380488e-05,30.0043758823529,0.00139763269789604
"2203","C2 - Skilled working class","2021 / 24","70-120",31,2291,0.0135312090790048,1949.06271,3.96286409255951e-05,62.8729906451613,0.00292868439872705
"2204","C2 - Skilled working class","2021 / 25","18-29",14,2403,0.00582605076987099,2109.64992,4.28937246243814e-05,150.68928,0.00736240144802775
"2205","C2 - Skilled working class","2021 / 25","30-39",28,2403,0.011652101539742,1951.95504,3.96874482212354e-05,69.71268,0.00340603350270102
"2206","C2 - Skilled working class","2021 / 25","40-49",24,2403,0.00998751560549313,1806.89271,3.67380187555204e-05,75.28719625,0.00367839412789648
"2207","C2 - Skilled working class","2021 / 25","50-59",51,2403,0.0212234706616729,1926.42765,3.91684214260033e-05,37.7730911764706,0.00184552385660168
"2208","C2 - Skilled working class","2021 / 25","60-69",50,2403,0.0208073241781107,1530.22317,3.1112731380488e-05,30.6044634,0.00149527787014625
"2209","C2 - Skilled working class","2021 / 25","70-120",27,2403,0.0112359550561798,1949.06271,3.96286409255951e-05,72.1875077777778,0.00352694904237797
"2210","C2 - Skilled working class","2021 / 26","18-29",18,3912,0.00460122699386503,2109.64992,4.28937246243814e-05,117.202773333333,0.00932223615169888
"2211","C2 - Skilled working class","2021 / 26","30-39",38,3912,0.00971370143149284,1951.95504,3.96874482212354e-05,51.3672378947369,0.00408571835372297
"2212","C2 - Skilled working class","2021 / 26","40-49",41,3912,0.010480572597137,1806.89271,3.67380187555204e-05,44.070553902439,0.00350534461881941
"2213","C2 - Skilled working class","2021 / 26","50-59",52,3912,0.0132924335378323,1926.42765,3.91684214260033e-05,37.0466855769231,0.00294667047343317
"2214","C2 - Skilled working class","2021 / 26","60-69",110,3912,0.028118609406953,1530.22317,3.1112731380488e-05,13.9111197272727,0.00110648186509517
"2215","C2 - Skilled working class","2021 / 26","70-120",58,3912,0.0148261758691207,1949.06271,3.96286409255951e-05,33.6045294827586,0.00267288350518842
"2216","C2 - Skilled working class","2021 / 27","18-29",17,2071,0.00820859488169966,2109.64992,4.28937246243814e-05,124.097054117647,0.00522546492335846
"2217","C2 - Skilled working class","2021 / 27","30-39",34,2071,0.0164171897633993,1951.95504,3.96874482212354e-05,57.4104423529412,0.00241743250782878
"2218","C2 - Skilled working class","2021 / 27","40-49",25,2071,0.012071463061323,1806.89271,3.67380187555204e-05,72.2757084,0.00304337747370731
"2219","C2 - Skilled working class","2021 / 27","50-59",46,2071,0.0222114920328344,1926.42765,3.91684214260033e-05,41.8788619565217,0.00176343045159245
"2220","C2 - Skilled working class","2021 / 27","60-69",57,2071,0.0275229357798165,1530.22317,3.1112731380488e-05,26.8460205263158,0.00113042924015773
